supplier,item_code,item_description,retail_sales,retail_transfers,warehouse_sales,date,cpi,unemployment_rate,fuel_price,competitor_price,customer_rating,lag_sales_1,rolling_mean_sales_7,item_type_DUNNAGE,item_type_KEGS,item_type_LIQUOR,item_type_NON-ALCOHOL,item_type_REF,item_type_STR_SUPPLIES,item_type_WINE,brand_Budweiser,brand_Corona,brand_Generic Brand,brand_Jack Daniel's,brand_Smirnoff,brand_Sutter Home,region_North,region_South,region_West,payment_method_Credit Card,payment_method_Online,weather_Rainy,weather_Sunny
STE MICHELLE WINE ESTATES,380938,14 HANDS RIES - 750ML,2.54,3.0,3.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,2.554418792058098,4.3,1.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
STE MICHELLE WINE ESTATES,380938,14 HANDS RIES - 750ML,2.27,0.0,14.0,2020-09-01,104.67309393453672,5.066327815175181,3.2078787595436165,2.274891201184232,3.9,3.0,6.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
REPUBLIC NATIONAL DISTRIBUTING CO,348282,14 HANDS RUN WILD REND BLEND - 750ML,0.0,0.0,1.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.0,3.6,2.0,1.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
STE MICHELLE WINE ESTATES,340447,14 HANDS STAMPEDE RED BLEND - 750ML,1.37,4.0,3.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,1.302426886882123,4.2,4.0,3.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
STE MICHELLE WINE ESTATES,340447,14 HANDS STAMPEDE RED BLEND - 750ML,0.41,0.0,8.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.389994957214393,4.3,3.0,5.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False
BUCK DISTRIBUTING COMPANY INC,63906,1623 DRY IRISH STOUT 4/6 CANS,0.75,0.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.7442639602116835,4.7,6.0,3.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
BUCK DISTRIBUTING COMPANY INC,63905,1623 HEFEWEIZEN 4/6 CANS,1.75,0.0,9.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,1.8326224833540983,3.6,5.0,7.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
BUCK DISTRIBUTING COMPANY INC,63907,1623 IPA 4/6 CANS,0.25,0.0,14.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.23972983851304147,4.7,11.0,12.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
BUCK DISTRIBUTING COMPANY INC,63908,1623 PILSNER 4/6 CANS,0.25,1.0,8.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.24121387045468043,3.9,10.75,9.375,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
SAZERAC CO,241342,1792 FULL PROOF BOURBON - 750ML,0.17,0.0,0.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.16798397943620333,3.8,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
SAZERAC CO,59323,1792 SMALL BATCH - 750ML,36.67,46.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,35.16832342197427,5.0,0.0,0.5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
SUTTER HOME WINERY INC,242007,18 BIELER PERE & FILS SABINE ROSE - 750ML,0.0,0.0,2.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.0,4.2,6.0,4.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
SUTTER HOME WINERY INC,242007,18 BIELER PERE & FILS SABINE ROSE - 750ML,0.0,0.0,11.92,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,4.8,2.0,6.640000000000001,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
PROXIMO SPIRITS INC,57371,1800 ANEJO TE 6/CS - 750ML,14.4,12.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,14.479676185824719,4.3,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
PROXIMO SPIRITS INC,70238,1800 REPOSADO TEQUILA - 1.75L,43.1,51.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,43.531799422788936,4.9,0.0,0.5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PROXIMO SPIRITS INC,70246,1800 SILVER TEQUILA - 1.75L,127.25,150.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,122.71079841861231,3.9,0.0,0.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
PROXIMO SPIRITS INC,70470,1800 TEQ - COCONUT - 1.75L,12.58,13.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,12.833192173588937,4.7,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False
PROXIMO SPIRITS INC,79988,1800 TEQ RESERVA COCONUT - 750ML,20.44,22.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,20.930064795694513,4.8,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
PROXIMO SPIRITS INC,38075,1800 TEQUILA RESERVA  REPOSADA - 750ML,41.5,35.0,4.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,43.53344840469668,3.6,3.0,3.5,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
PROXIMO SPIRITS INC,71385,1800 ULTIMATE LIME MARGARITA - 1.75L,75.06,84.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,77.84712161915543,5.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
PROXIMO SPIRITS INC,63782,1800 ULTIMATE MANGO MARGARITA 1.75L,36.44,52.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,35.47011551263523,4.3,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True
PROXIMO SPIRITS INC,71037,1800 ULTIMATE PEACH MARGARITA - 1.75L,36.67,40.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,37.724115714219636,4.2,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
PROXIMO SPIRITS INC,71126,1800 ULTIMATE PINEAPPLE MARGARITA - 1.75L,54.82,58.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,55.1465228295308,3.9,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
PROXIMO SPIRITS INC,75010,1800 ULTIMATE RASPBERRY MARGARITA 1.75L,1.01,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,1.0325890522057282,4.8,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
PROXIMO SPIRITS INC,350774,1800 WATERMELON MARGARITA 1.75L,16.66,14.0,0.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,15.961774558264096,3.6,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
PROXIMO SPIRITS INC,350774,1800 WATERMELON MARGARITA 1.75L,29.21,32.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,28.307498338391234,4.8,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
CELICAR LLC DBA TWIN VALLEY DISTILLERS,235052,1812 MARYLAND BOURBON WHISKEY - 750ML,2.04,2.0,0.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,2.063297363715931,4.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
CELICAR LLC DBA TWIN VALLEY DISTILLERS,235052,1812 MARYLAND BOURBON WHISKEY - 750ML,9.52,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,9.595511952472805,4.8,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
PWSWN INC,346442,1861 MALB - 750ML,0.0,0.0,7.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.0,4.7,1.0,4.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False
PWSWN INC,346442,1861 MALB - 750ML,0.0,0.0,13.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,4.4,7.0,7.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
TREASURY WINE ESTATES AMERICAS COMPANY,85425,19 CRIMES HARD CHARD - 750ML,7.86,7.0,24.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,8.084862731148682,4.0,21.0,22.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False
TREASURY WINE ESTATES AMERICAS COMPANY,241306,19 CRIMES SAUVIGNON BLOCK - 750ML,3.81,4.0,1.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,3.7651414386258604,4.2,3.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
TREASURY WINE ESTATES AMERICAS COMPANY,241306,19 CRIMES SAUVIGNON BLOCK - 750ML,2.1,2.0,12.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,2.009653564279591,4.3,1.0,5.333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
TREASURY WINE ESTATES AMERICAS COMPANY,81632,19 CRIMES SEA  CAB - 750ML,17.26,22.0,57.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,16.983532978340502,4.8,72.0,64.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
TREASURY WINE ESTATES AMERICAS COMPANY,85424,19 CRIMES SEA  RED BLEND - 750ML,16.72,23.0,63.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,16.966880018807103,4.8,69.0,66.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
TREASURY WINE ESTATES AMERICAS COMPANY,86277,19 CRIMES SEA  SHZ - 750ML,7.69,14.0,17.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,7.750207438506915,4.5,18.0,17.5,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
TREASURY WINE ESTATES AMERICAS COMPANY,239698,19 CRIMES SEA RED BLEND - 187ML,1.88,5.0,0.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,1.8700291169835834,4.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
TREASURY WINE ESTATES AMERICAS COMPANY,239698,19 CRIMES SEA RED BLEND - 187ML,0.92,0.0,2.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.9040587796508841,4.0,0.0,0.6666666666666666,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
TREASURY WINE ESTATES AMERICAS COMPANY,81665,19 CRIMES THE BANISHED RED BLEND - 750ML,7.17,13.0,19.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,7.148029595680195,4.8,24.0,21.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
TREASURY WINE ESTATES AMERICAS COMPANY,348350,19 CRIMES THE PUNISHMENT P/NOIR - 750ML,5.8,4.0,9.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,5.983283587485622,4.0,24.0,16.5,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True
TREASURY WINE ESTATES AMERICAS COMPANY,348350,19 CRIMES THE PUNISHMENT P/NOIR - 750ML,2.7,3.0,13.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,2.6576193849065306,4.2,9.0,15.333333333333334,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
TREASURY WINE ESTATES AMERICAS COMPANY,296893,19 CRIMES THE UPRISING RED BLEND - 750ML,23.72,25.0,24.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,23.401391477487778,4.7,48.0,36.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
TREASURY WINE ESTATES AMERICAS COMPANY,296893,19 CRIMES THE UPRISING RED BLEND - 750ML,14.7,23.0,32.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,14.82175288916368,4.3,24.0,34.666666666666664,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
TREASURY WINE ESTATES AMERICAS COMPANY,81650,19 CRIMES THE WARDEN RED BLEND - 750ML,0.85,0.0,5.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.833583279165281,4.6,18.0,11.5,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True
OPICI FAMILY DISTRIBUTING OF MD,47592,1921 CREME DE TEQ - 750ML,0.5,3.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.4933473283511189,4.8,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
BACKUP BEVERAGE,62620,2 BROS HEAVY HANDED IPA 4/6 CANS,0.0,0.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,4.5,1.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
WINE BRIDGE IMPORTS INC,340433,2 COPAS CAB - 750ML,0.0,0.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,3.6,3.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
WINE BRIDGE IMPORTS INC,338296,2 COPAS S/BLC - 750ML,0.32,0.0,6.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.323618128055409,4.0,9.0,7.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
WINE BRIDGE IMPORTS INC,338296,2 COPAS S/BLC - 750ML,0.98,2.0,4.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.9635777283181391,4.5,6.0,6.333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
WINE BRIDGE IMPORTS INC,332125,2 COPAS SYR/TEMP - 750ML,0.0,0.0,2.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.0,4.2,7.0,4.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
WINE BRIDGE IMPORTS INC,332125,2 COPAS SYR/TEMP - 750ML,0.0,0.0,3.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,5.0,2.0,4.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
PWSWN INC,351382,20000 LEGUAS AMBER - 750ML,0.0,0.0,3.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,4.4,2.0,2.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
PWSWN INC,351382,20000 LEGUAS AMBER - 750ML,0.0,0.0,1.0,2020-09-01,104.67309393453672,5.066327815175181,3.2078787595436165,0.0,3.7,3.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
DOPS INC,12227,21ST AMENDMENT BLAH BLAH IPA - CANS,0.0,0.0,1.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.0,4.2,1.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
DOPS INC,12227,21ST AMENDMENT BLAH BLAH IPA - CANS,0.0,0.0,2.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,4.7,1.0,1.3333333333333333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
DOPS INC,12359,21ST AMENDMENT BLOOD ORANGE - 12.OZ 4/6 CAN,0.0,0.0,5.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.0,3.7,6.0,5.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
DOPS INC,12359,21ST AMENDMENT BLOOD ORANGE - 12.OZ 4/6 CAN,0.0,0.0,5.0,2020-09-01,104.67309393453672,5.066327815175181,3.2078787595436165,0.0,4.8,5.0,5.333333333333333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
DOPS INC,10407,21ST AMENDMENT EL SULLY CERVEZA - 4/6 12.0Z,0.0,0.0,2.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.0,4.5,6.0,4.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
DOPS INC,24443,21ST AMENDMENT FIRESIDE CHAT 4/6 NR - 12OZ,0.75,0.0,1.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.7293332066939481,4.0,3.0,2.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DOPS INC,24443,21ST AMENDMENT FIRESIDE CHAT 4/6 NR - 12OZ,0.04,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.04048350450256361,4.9,1.0,1.3333333333333333,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
DOPS INC,22940,21ST AMENDMENT IPA 4/6 CAN - 12OZ,6.75,8.0,22.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,6.712097344493649,4.5,4.0,13.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
DOPS INC,22940,21ST AMENDMENT IPA 4/6 CAN - 12OZ,7.25,8.0,8.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,7.239720151480562,3.9,22.0,11.333333333333334,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
DOPS INC,22940,21ST AMENDMENT IPA 4/6 CAN - 12OZ,5.5,4.0,9.0,2020-09-01,104.67309393453672,5.066327815175181,3.2078787595436165,5.243059150379011,4.5,8.0,10.75,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
DOPS INC,63848,21ST AMENDMENT VARIETY PACK 2/12 CANS,1.5,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,1.5611678123320059,4.0,1.0,0.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
DOPS INC,22944,21ST AMENDMENT WATERMELON CAN 4/6 CANS 12.0Z,10.0,5.0,14.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,10.328423393109606,4.7,6.0,10.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
